ID,Activa?,Seguro,Asegurado,Tipo,Uso,Vehículo,Inmueble,Otra,Vida y Salud,Comentarios
50b95645,TRUE,Seg0028,52c31de2,Vehículo,Particular,50b95645,,,,
5d9fa33f,TRUE,Seg0028,rut0163,Vehículo,Particular,5d9fa33f,,,,
9173bd62,TRUE,Seg0028,75e51cf5,Vehículo,Particular,9173bd62,,,,
bfa7d1ff,TRUE,Seg0028,rut0185,Vehículo,Particular,bfa7d1ff,,,,
82bccab8,TRUE,Seg0028,rut0064,Vehículo,Particular,82bccab8,,,,
924a20ec,FALSE,Seg0028,84a83d96,Vehículo,Particular,924a20ec,,,,
ded448d5,TRUE,Seg0028,93df6c68,Vehículo,Particular,ded448d5,,,,
b45c7ca3,TRUE,Seg0028,93df6c68,Vehículo,Particular,b45c7ca3,,,,
0a4f0ce3,TRUE,Seg0028,b3863aef,Vehículo,Particular,0a4f0ce3,,,,
5e9b0bd1,TRUE,Seg0028,rut0158,Vehículo,Particular,5e9b0bd1,,,,
0875d6af,TRUE,Seg0028,ab770ebe,Vehículo,Particular,0875d6af,,,,
3e09c7e1,TRUE,Seg0028,rut0106,Vehículo,Particular,3e09c7e1,,,,
1cf89759,TRUE,Seg0028,rut0125,Vehículo,Particular,1cf89759,,,,
26ed91d9,TRUE,Seg0028,ca6d987a,Vehículo,Particular,26ed91d9,,,,
8b219ecc,TRUE,Seg0028,4e4dc021,Vehículo,Particular,8b219ecc,,,,
53486a9a,FALSE,Seg0028,ca6d987a,Vehículo,Particular,53486a9a,,,,No asegurable
a5a7c164,TRUE,Seg0028,a4f3b5c9,Vehículo,Particular,a5a7c164,,,,
3c6b63de,TRUE,Seg0028,836c51dc,Vehículo,Particular,3c6b63de,,,,
