ID,Fecha Registro,Tipo Registro,Estado Negocio,Estado Renovación,Estado Prospecto,Estado Traspaso,Estado Inclusión,Tipo Materia,Seguro,Cot Aceptada,Póliza,Modifica Materia?,Comisión?,Contratante,Pagador,Cliente,Producto,Ejecutivo,Moneda,UF Prima Afecta,UF Prima Exenta,CLP Prima Afecta,CLP Prima Exenta,USD Prima Afecta,USD Prima Exenta,% Comisión Afecta,% Comisión Exenta,Forma de Pago,N° Cuotas,Valor Cuota,Tipo Inspección,N° Inspección,I Vigencia,Condiciones,Archivos,Comentarios,Fin Gestión,Traspaso Info 1,Traspaso Info 2
Neg0143,10/4/2025,Negocio,Nulo,,,,,Individual,,,,FALSE,TRUE,rut0005,rut0005,Cli0005,,,UF,,,,,,,,,,,,No Aplica,,,,,,20/4/2025,,
Neg0146,11/4/2025,Negocio,Nulo,,,,,Individual,,Cot0165,,FALSE,TRUE,rut0085,rut0085,Cli0061,,,UF,,,,,,,,,Directa,,,Autoinspección,1208604,,,,,21/4/2025,,
Neg0147,11/4/2025,Negocio,Aceptado,,,,,Individual,Seg0032,Cot0166,,FALSE,TRUE,rut0196,rut0196,Cli0129,,,UF,,,,,,,25.00%,25.00%,Directa,,,No Aplica,,,,,,21/4/2025,,
Pol0354,11/4/2025,Traspaso,,,,Ok,,Individual,Seg0023,,,FALSE,FALSE,rut0149,rut0149,Cli0103,,,UF,,,,,,,15.00%,0.00%,PAT,,,,,,,,,21/4/2025,,
Neg0148,16/4/2025,Negocio,Aceptado,,,,,Individual,Seg0014,Cot0172,,FALSE,TRUE,rut0159,rut0159,Cli0111,,,UF,,,,,,,18.00%,8.00%,PAC,,,No Aplica,,,,,,26/4/2025,,
Neg0149,17/4/2025,Negocio,Aceptado,,,,,Individual,Seg0028,Cot0168,,FALSE,TRUE,rut0078,rut0078,Cli0056,,,UF,,,,,,,17.00%,0.00%,PAT,,,Continuidad,,,,,,27/4/2025,,
Neg0150,22/4/2025,Negocio,Aceptado,,,,,Individual,Seg0028,Cot0171,,FALSE,TRUE,rut0135,rut0135,Cli0098,,,UF,,,,,,,17.00%,0.00%,PAT,,,Continuidad,,,,,,2/5/2025,,
Ren0163,26/4/2025,Renovación,,Renovado,,,,Individual,Seg0028,,Pol0230,FALSE,TRUE,rut0057,rut0057,Cli0040,,,UF,,,,,,,12.00%,0.00%,Directa,,,,,,,,,6/5/2025,,
Neg0151,28/4/2025,Negocio,Aceptado,,,,,Individual,Seg0028,Cot0173,,FALSE,TRUE,rut0079,rut0079,Cli0056,,,UF,,,,,,,14.00%,0.00%,PAT,,,Autoinspección,1217819,,,,,8/5/2025,,
Pol0307,29/4/2025,Traspaso,,,,Ok,,Individual,Seg0028,,,FALSE,FALSE,rut0096,rut0096,Cli0068,,,UF,,,,,,,10.00%,0.00%,Directa,,,,,,,,,9/5/2025,,
