ID,Categoria,Entidad,Compañía,Póliza,Partner,Gestor,Titulo,Descripcion,Tipo,Obligación,FechaInicio,FechaFin,FechaVencimiento,Prioridad,DiasAnticipacionAviso,Activo,Completado,FechaCompletado,FechaCreacion,FechaActualizacion
e2e048ee,Cat0006,,,,,,Cobranza 06/05/26,Realizar cobranza,Obligación,985cf347,6/5/2026,,6/5/2026,Media,3,TRUE,FALSE,,6/5/2026 8:00:09,6/5/2026 8:00:09
54b4be26,Cat0006,,,,,,Revisar Prospectos 06/05/26,,Obligación,7075efec,6/5/2026,,6/5/2026,Baja,0,TRUE,FALSE,,6/5/2026 8:00:09,6/5/2026 8:00:09
a2e81f51,Cat0002,17439460,,,,,Pólizas Corredor 01/04/26,Renovar y enviar pólizas de corredor a la CMF,Obligación,812fde8d,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,7/5/2026 8:00:05,7/5/2026 8:00:05
66385521,Cat0002,17439460,,,,,FECU 01/02/26,Solicitar FECU a las Compañías y enviar a la CMF,Obligación,b9f0045e,1/2/2026,,1/2/2026,Alta,30,TRUE,FALSE,,7/5/2026 8:00:05,7/5/2026 8:00:05
40f4d167,Cat0010,Prv0001,,,,,Impuestos 01/04/26,Declaración de Impuestos a la Renta,Obligación,bb67619e,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,7/5/2026 8:00:05,7/5/2026 8:00:05
94b89ca3,Cat0010,Prv0001,,,,,IVA 20/05/26,Declarar y pagar IVA mensual,Obligación,25263faa,20/5/2026,,20/5/2026,Alta,15,TRUE,FALSE,,7/5/2026 8:00:05,7/5/2026 8:00:05
940aab2c,Cat0006,,,,,,Revisar Prospectos 07/05/26,,Obligación,7075efec,7/5/2026,,7/5/2026,Baja,0,TRUE,FALSE,,7/5/2026 8:00:05,7/5/2026 8:00:05
aeab49e7,Cat0002,17439460,,,,,Pólizas Corredor 01/04/26,Renovar y enviar pólizas de corredor a la CMF,Obligación,812fde8d,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,8/5/2026 8:00:08,8/5/2026 8:00:08
2e6c9fa2,Cat0002,17439460,,,,,FECU 01/02/26,Solicitar FECU a las Compañías y enviar a la CMF,Obligación,b9f0045e,1/2/2026,,1/2/2026,Alta,30,TRUE,FALSE,,8/5/2026 8:00:08,8/5/2026 8:00:08
76c6b918,Cat0010,Prv0001,,,,,Impuestos 01/04/26,Declaración de Impuestos a la Renta,Obligación,bb67619e,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,8/5/2026 8:00:08,8/5/2026 8:00:08
b5cc99c1,Cat0010,Prv0001,,,,,IVA 20/05/26,Declarar y pagar IVA mensual,Obligación,25263faa,20/5/2026,,20/5/2026,Alta,15,TRUE,FALSE,,8/5/2026 8:00:08,8/5/2026 8:00:08
10412ebe,Cat0006,,,,,,Revisar Prospectos 08/05/26,,Obligación,7075efec,8/5/2026,,8/5/2026,Baja,0,TRUE,FALSE,,8/5/2026 8:00:08,8/5/2026 8:00:08
d1023f12,Cat0002,17439460,,,,,Pólizas Corredor 01/04/26,Renovar y enviar pólizas de corredor a la CMF,Obligación,812fde8d,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,9/5/2026 8:00:03,9/5/2026 8:00:03
07420f27,Cat0002,17439460,,,,,FECU 01/02/26,Solicitar FECU a las Compañías y enviar a la CMF,Obligación,b9f0045e,1/2/2026,,1/2/2026,Alta,30,TRUE,FALSE,,9/5/2026 8:00:03,9/5/2026 8:00:03
daa6a33c,Cat0010,Prv0001,,,,,Impuestos 01/04/26,Declaración de Impuestos a la Renta,Obligación,bb67619e,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,9/5/2026 8:00:03,9/5/2026 8:00:03
ca005713,Cat0010,Prv0001,,,,,IVA 20/05/26,Declarar y pagar IVA mensual,Obligación,25263faa,20/5/2026,,20/5/2026,Alta,15,TRUE,FALSE,,9/5/2026 8:00:03,9/5/2026 8:00:03
c42c15f2,Cat0006,,,,,,Revisar Prospectos 09/05/26,,Obligación,7075efec,9/5/2026,,9/5/2026,Baja,0,TRUE,FALSE,,9/5/2026 8:00:03,9/5/2026 8:00:03
71709b61,Cat0002,17439460,,,,,Pólizas Corredor 01/04/26,Renovar y enviar pólizas de corredor a la CMF,Obligación,812fde8d,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,10/5/2026 8:00:07,10/5/2026 8:00:07
718b77c5,Cat0002,17439460,,,,,FECU 01/02/26,Solicitar FECU a las Compañías y enviar a la CMF,Obligación,b9f0045e,1/2/2026,,1/2/2026,Alta,30,TRUE,FALSE,,10/5/2026 8:00:07,10/5/2026 8:00:07
e60fec52,Cat0010,Prv0001,,,,,Impuestos 01/04/26,Declaración de Impuestos a la Renta,Obligación,bb67619e,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,10/5/2026 8:00:07,10/5/2026 8:00:07
afc6f4c5,Cat0010,Prv0001,,,,,IVA 20/05/26,Declarar y pagar IVA mensual,Obligación,25263faa,20/5/2026,,20/5/2026,Alta,15,TRUE,FALSE,,10/5/2026 8:00:07,10/5/2026 8:00:07
c20a5642,Cat0006,,,,,,Cobranza 13/05/26,Realizar cobranza,Obligación,985cf347,13/5/2026,,13/5/2026,Media,3,TRUE,FALSE,,10/5/2026 8:00:07,10/5/2026 8:00:07
c48572c4,Cat0006,,,,,,Revisar Prospectos 10/05/26,,Obligación,7075efec,10/5/2026,,10/5/2026,Baja,0,TRUE,FALSE,,10/5/2026 8:00:07,10/5/2026 8:00:07
8c4159ec,Cat0002,17439460,,,,,Pólizas Corredor 01/04/26,Renovar y enviar pólizas de corredor a la CMF,Obligación,812fde8d,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,11/5/2026 8:00:08,11/5/2026 8:00:08
a11e0f04,Cat0002,17439460,,,,,FECU 01/02/26,Solicitar FECU a las Compañías y enviar a la CMF,Obligación,b9f0045e,1/2/2026,,1/2/2026,Alta,30,TRUE,FALSE,,11/5/2026 8:00:08,11/5/2026 8:00:08
220c292e,Cat0010,Prv0001,,,,,Impuestos 01/04/26,Declaración de Impuestos a la Renta,Obligación,bb67619e,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,11/5/2026 8:00:08,11/5/2026 8:00:08
53230f14,Cat0010,Prv0001,,,,,IVA 20/05/26,Declarar y pagar IVA mensual,Obligación,25263faa,20/5/2026,,20/5/2026,Alta,15,TRUE,FALSE,,11/5/2026 8:00:08,11/5/2026 8:00:08
2bd58fef,Cat0006,,,,,,Cobranza 13/05/26,Realizar cobranza,Obligación,985cf347,13/5/2026,,13/5/2026,Media,3,TRUE,FALSE,,11/5/2026 8:00:08,11/5/2026 8:00:08
f144684d,Cat0006,,,,,,Revisar Prospectos 11/05/26,,Obligación,7075efec,11/5/2026,,11/5/2026,Baja,0,TRUE,FALSE,,11/5/2026 8:00:08,11/5/2026 8:00:08
