ID,Registro,Póliza
Pol0357,Ren0153,Pol0357
Pol0358,Ren0154,Pol0358
Pol0359,Ren0155,Pol0359
Pol0360,Ren0156,Pol0360
Pol0361,Ren0157,Pol0361
Pol0362,Ren0158,Pol0362
Pol0363,Neg0138,Pol0363
Pol0364,Ren0159,Pol0364
Pol0365,Ren0160,Pol0365
Pol0366,Neg0149,Pol0366
Pol0367,Ren0161,Pol0367
Pol0368,Neg0150,Pol0368
Pol0369,Neg0148,Pol0369
Pol0370,Ren0162,Pol0370
Pol0371,Neg0151,Pol0371
Pol0372,Neg0152,Pol0372
Pol0373,Ren0163,Pol0373
Pol0374,Ren0164,Pol0374
Pol0375,Ren0165,Pol0375
Pol0376,Ren0166,Pol0376
Pol0377,Ren0167,Pol0377
Pol0378,Ren0168,Pol0378
Pol0379,Ren0169,Pol0379
Pol0380,Neg0155,Pol0380
Pol0381,Ren0170,Pol0381
Pol0382,Ren0171,Pol0382
Pol0383,Ren0172,Pol0383
Pol0384,Pol03843,Pol0384
Pol0385,Ren0173,Pol0385
Pol0386,Ren0174,Pol0386
Pol0387,Ren0175,Pol0387
Pol0388,Ren0176,Pol0388
Pol0389,Neg0161,Pol0389
Pol0390,Neg0159,Pol0390
Pol0391,Ren0177,Pol0391
Pol0392,Ren0178,Pol0392
Pol0393,Ren0179,Pol0393
Pol0394,Ren0180,Pol0394
Pol0395,Ren0181,Pol0395
Pol0396,Ren0182,Pol0396
Pol0397,Neg0164,Pol0397
Pol0398,Ren0183,Pol0398
Pol0399,Ren0184,Pol0399
Pol0400,Ren0185,Pol0400
Pol0401,Ren0186,Pol0401
Pol0402,Ren0187,Pol0402
8cadec11,8888cabf,8cadec11
c83a0e03,Ren0189,c83a0e03
83829038,6a5b6dbd,83829038
803dc2d1,70481678,803dc2d1
e27da4a6,f54a06b1,e27da4a6
2bf2b944,e95a9c19,2bf2b944
f0556099,7374a157,f0556099
09d37c47,87ce1377,09d37c47
c0c8928a,647c439f,c0c8928a
e74b0b6f,be41bc58,e74b0b6f
40784a6d,0c01f653,40784a6d
c94ee9b2,9632e8b5,c94ee9b2
bee48083,74604db5,bee48083
ca99f3df,8fa6ddd5,ca99f3df
f6d7c27d,d74a477f,f6d7c27d
60142d69,cb39f0ab,60142d69
4d215b97,6741304c,4d215b97
177c7a90,Neg0166,177c7a90
bb95f0ea,2d6bb025,bb95f0ea
c5235e0d,8aaf46ba,c5235e0d
dd9931ed,ed5fd0f1,dd9931ed
01e808b3,6e6b8483,01e808b3
4d790378,3a696d4b,4d790378
6687c266,bf064cda,6687c266
372dc73d,de9ea92b,372dc73d
febaf480,a1bc1d28,febaf480
f390fd52,3670afd7,f390fd52
e584acf4,c83f0584,e584acf4
ac67dd8d,57f54aa0,ac67dd8d
34c36ce7,c03c9974,34c36ce7
68d7e8aa,Ren0190,68d7e8aa
02fa9689,1c1623bf,02fa9689
378d4436,02b49c5e,378d4436
ebcc3572,212d60e3,ebcc3572
b15bee89,13ec6c2a,b15bee89
f07a045b,8da00208,f07a045b
4eeec35b,e9c41762,4eeec35b
6823a021,ee16754f,6823a021
73953dda,0d1e7bdd,73953dda
89c30c2c,699ec3d6,89c30c2c
24bebbb1,970cd1c3,24bebbb1
fd5d2dbd,ac927ec4,fd5d2dbd
dd06fc9b,53072e4c,dd06fc9b
6f77f7a2,04ac1008,6f77f7a2
b49a85dc,32936c02,b49a85dc
4b5a6e9e,dee879df,4b5a6e9e
091af608,a49e8330,091af608
3e4ce098,d4146c05,3e4ce098
8ae86143,a0d39f46,8ae86143
e98353a7,d1f02d61,e98353a7
71b3d440,ac927ec421,71b3d440
5613b4e6,dee8757839df,5613b4e6
063e1f41,32936c0152,063e1f41
3fb6a15b,a49e8324530,3fb6a15b
1dd16a71,d4146c056534,1dd16a71
8cff200d,8da002538,8cff200d
c7673ca8,3daa9575,c7673ca8
527880c6,44db2753,527880c6
61beadd7,e200030b,61beadd7
861954f5,8bda7d27,861954f5
538f9acf,82bd9642,538f9acf
9577cc21,543066bb,9577cc21
1cdb8e22,6f92d466,1cdb8e22
126fc801,6a6d843f,126fc801
8544d8f1,d51d7ce2,8544d8f1
218baf40,280d59cc,218baf40
0f97710e,a80db467,0f97710e
69567346,0598c408,69567346
64003e8e,f3c3e533,64003e8e
aa4f1291,5a79ad75,aa4f1291
7dfe8fed,8834ad0e,7dfe8fed
f58c5d97,203b877c,f58c5d97
15323d8a,ab5d0c04,15323d8a
778607fc,cfb4e007,778607fc
be6242a8,7b14721e,be6242a8
bcdf49b7,b6f8a30c,bcdf49b7
5d947ab4,32da4e0c,5d947ab4
1dbea262,ad93ea2b,1dbea262
0aa0b1eb,c3a78960,0aa0b1eb
fdb68a3f,7e44c039,fdb68a3f
990b9461,0b31b71e,990b9461
ee385778,b1f94b07,ee385778
e8c76d47,60351732,e8c76d47
35ed3d04,2c5af2fa,35ed3d04
9db2cab3,30ec9962,9db2cab3
91b4c220,ee2843f2,91b4c220
b286b262,c22f5f90,b286b262
cb753825,f7e1c371,cb753825
4f382fb9,af53e0dd,4f382fb9
842e948f,8351632a,842e948f
0d2ce436,68a18954,0d2ce436
c918e9be,e0d7dfc2,c918e9be
87142d52,fcc910b9,87142d52
b233aeee,2e415aa7,b233aeee
28cbe33a,5423a1e7,28cbe33a
ae359c90,9068243c,ae359c90
76315657,e55a81be,76315657
76c6f684,00ae15c1,76c6f684
663a6900,aa113c96,663a6900
7a699e07,ca0659a3,7a699e07
711fb40c,23872a90,711fb40c
c22287da,b1733951,c22287da
5c8b178e,447e79d6,5c8b178e
f165efdc,2856c70a,f165efdc
c72c35ed,339fa3f933,c72c35ed
8126f25b,339fa3f849,8126f25b
1dd80b27,339fa3f765,1dd80b27
3a9386ac,339fa3f681,3a9386ac
945b4595,339fa3f597,945b4595
bc371268,339fa3f513,bc371268
48aab7e9,339fa3f429,48aab7e9
0e446ef9,339fa3f345,0e446ef9
1f873d71,339fa3f261,1f873d71
ce951e52,339fa3f177,ce951e52
55591332,339fa3f93,55591332
6a4273e8,339fa3f9,6a4273e8
e6dd779d,a34ebb14,e6dd779d
c6244feb,9614284a,c6244feb
e25f4ff6,7edb0d4b,e25f4ff6
73707a89,e6aa8b9a,73707a89
7f586818,6538a3f3,7f586818
0e35ebec,8187f4d0,0e35ebec
738bb159,fff74322,738bb159
40dd730d,c2a3a5b8,40dd730d
edfb5fc6,e0fa476e,edfb5fc6
fc481f80,d09543a6,fc481f80
619fbb0f,84cf7d14,619fbb0f
dcaaafc0,a4caf327,dcaaafc0
d70adad7,badb11dd,d70adad7
c411fa00,9f17dea2,c411fa00
a06a38ca,304b3cf5,a06a38ca
4b5b8cf7,0f938ac0,4b5b8cf7
859c919e,98d5e628,859c919e
de07449d,18b91ed7,de07449d
8f97448b,5b28fbe7,8f97448b
9aee3438,4bc35765,da6291c9
5fefc6ec,2a7b8c5f,2336038d
163b0bb8,e4e057cf,5bb456ac
08a8193e,de2d43b6,2808be11
08a3ea6d,d409d0a1,c80c7c91
9ef872a7,83945dfb,aeba357c
296eddf9,f3c2adf3,0e8f3562
70ce84bf,c2c8516c,7cdb67be
617d8ae2,1052a1a4,e8572cba
c7957ea3,0ff7fff4,94f62af4
